Popular,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local,Robbery
3400000,18,328,120,68,16,4,273,26,171,1032,70
3400001,10,307,170,37,10,4,380,124,98,870,65
3400002,81,792,822,275,49,27,1538,522,435,3108,242
3400003,86,192,396,131,14,5,428,122,213,752,52
3400004,94,410,325,161,42,22,516,64,259,1403,130
3400005,63,353,337,90,33,10,392,52,416,1212,89
3400006,52,429,280,226,40,18,521,72,246,1699,120
3400007,76,473,218,252,36,7,495,72,162,1532,145
3400008,77,564,365,157,55,20,568,65,244,1794,109
3400009,57,424,294,298,54,23,806,87,570,2556,216
3400010,6,45,31,0,5,0,263,140,35,587,15
3400011,52,500,321,219,46,13,700,102,351,1784,138
3400012,90,595,913,390,58,21,915,194,397,2271,180
3400013,24,186,311,115,31,10,456,82,168,1115,112
3400014,35,226,347,150,27,11,441,129,423,963,109
3400015,71,206,185,56,15,5,356,46,23,625,58
3400016,46,242,299,59,22,7,537,87,167,1040,86
3400017,55,117,286,59,48,15,534,84,50,824,34
3400018,62,291,616,166,67,22,1171,272,256,2086,140
3400019,1,17,7,0,0,1,389,315,18,293,11
3400020,32,190,199,21,18,6,191,35,31,323,16
3400021,37,179,148,69,26,14,215,31,11,337,12
3400022,21,69,56,38,10,1,114,7,16,182,9
3400023,11,85,183,19,10,6,118,24,4,151,3
3400024,14,160,149,55,12,4,154,9,16,161,7
3400025,17,138,111,82,7,1,143,19,20,229,23
3400026,60,220,511,61,13,5,382,101,35,811,33
3400027,56,170,388,50,10,7,298,78,24,616,21
3400028,46,192,219,93,18,11,486,152,54,838,34
3400029,20,105,74,23,4,1,205,32,18,334,20
3400030,95,176,406,78,19,8,339,113,85,766,80
3400031,86,146,407,67,5,0,282,75,33,582,30
3400032,41,74,283,99,9,3,261,100,29,614,23
3400033,57,216,289,61,19,9,439,131,51,714,60
3400034,52,223,381,149,10,2,536,192,34,996,18
3400035,116,186,326,127,15,4,409,84,53,672,16
3400036,9,24,9,0,2,1,150,111,8,115,5
3400037,70,304,60,99,9,2,245,5,159,740,41
3400038,37,155,58,51,7,2,141,36,31,353,21
3400039,57,282,170,112,7,2,317,36,38,662,40
3400040,31,133,288,88,9,3,231,23,44,616,41
3400041,31,211,148,38,12,5,150,18,111,413,32
3400042,37,292,429,113,15,6,436,95,112,952,53
3400043,65,254,298,105,8,2,169,20,80,560,43
3400044,24,188,248,116,9,3,234,22,118,691,65
3400045,54,302,197,94,7,1,405,95,178,1685,135
3400046,42,188,156,77,8,3,149,23,26,393,19
3400047,32,268,84,194,4,0,128,14,5,391,10
3400048,31,224,77,86,3,1,104,12,10,255,5
3400049,30,125,129,54,1,1,143,21,9,224,12
3400050,68,362,301,158,14,6,376,113,54,741,41
3400051,23,160,142,44,6,3,151,29,14,302,19
3400052,67,241,378,114,10,4,303,66,63,712,64
3400053,1,56,5,0,2,1,11,1,0,21,1
3400054,7,25,5,1,2,0,282,218,12,286,1
3400055,20,192,80,54,6,3,239,15,28,651,17
3400056,31,167,115,73,28,11,430,46,54,1166,40
3400057,30,201,279,68,26,7,593,103,206,1607,108
3400058,27,109,64,47,22,3,221,21,11,395,14
3400059,36,130,67,91,33,15,427,34,29,1013,41
3400060,18,214,235,100,25,10,568,85,89,1191,68
3400061,36,208,90,52,10,1,261,21,39,575,36
3400062,30,111,84,39,8,4,167,30,25,405,29
3400063,24,129,34,65,13,5,131,20,0,158,5
3400064,1,9,10,0,4,2,220,167,0,64,1
3400065,29,227,184,79,11,1,255,57,50,529,61
3400066,88,347,202,136,14,8,439,111,44,832,57
3400067,45,200,104,89,11,3,383,75,55,748,36
3400068,53,244,194,96,13,5,310,37,29,482,17
3400069,36,243,301,103,10,2,339,70,50,445,23
3400070,90,312,220,136,15,8,346,61,21,637,18
3400071,59,269,95,113,21,6,248,26,17,380,27
3400072,62,519,250,208,20,6,538,164,29,701,44
3400073,4,15,18,1,0,0,224,171,3,64,1
3400074,53,425,481,292,31,11,729,157,214,1921,197
3400075,62,312,557,219,26,11,545,145,239,1297,80
3400076,66,329,397,122,22,8,426,107,70,851,44
3400077,122,753,352,159,50,20,813,129,291,1680,100
3400078,74,508,127,131,29,8,501,75,84,1006,57
3400079,62,220,129,52,18,5,276,34,54,619,25
3400080,63,421,118,148,32,6,472,70,87,745,38
3400081,2,5,8,0,0,0,145,105,27,144,5
3400082,27,221,177,150,31,18,529,85,913,1965,169
3400083,41,314,175,201,67,24,821,157,154,2164,138
3400084,48,264,310,245,24,11,509,97,226,1573,108
3400085,38,316,261,201,32,16,550,80,103,1542,113
3400086,49,303,44,60,15,4,315,61,39,631,26
3400087,71,566,169,175,27,12,501,63,65,1079,79
3400088,24,225,45,62,11,3,281,63,14,499,26
3400089,25,195,140,67,13,1,525,79,32,1070,52
3400090,11,73,12,46,6,1,64,3,6,176,14
3400091,58,374,117,181,15,4,405,65,23,543,40
3400092,2,21,3,0,1,1,58,36,3,100,2
3400093,15,95,198,53,3,2,193,69,43,376,45
3400094,20,106,66,34,6,2,171,37,4,243,10
3400095,25,141,81,74,10,4,248,82,37,346,20
3400096,22,93,42,48,8,2,206,59,11,245,16
3400097,42,147,69,51,20,12,343,58,31,636,16
3400098,12,76,100,19,11,5,200,65,40,320,29
3400099,24,123,164,34,8,6,222,53,20,345,29
3400100,11,44,74,14,15,2,191,56,17,265,9
3400101,34,108,93,71,9,2,175,36,14,311,11
3400102,18,58,37,27,8,1,93,24,13,134,2
3400103,4,65,63,21,2,1,77,32,3,84,3
3400104,2,53,4,14,3,3,31,9,0,24,0
3400105,18,112,68,12,8,3,135,10,7,174,2
3400106,12,31,36,3,1,0,66,15,2,100,2
3400107,5,27,57,5,5,3,123,37,10,173,4
3400108,7,41,21,8,1,1,46,2,1,43,1
3400109,16,89,172,28,5,1,144,29,6,173,9
3400110,15,51,105,44,2,0,41,3,2,56,2
3400111,9,43,93,12,13,7,148,33,35,244,7
3400112,4,42,43,33,3,0,88,14,6,118,5
3400113,2,26,14,0,3,3,376,293,7,161,3
3400114,34,123,97,31,33,10,353,55,49,811,35
3400115,104,416,145,50,49,20,624,59,77,1460,70
3400116,135,372,119,41,37,19,411,81,19,648,55
3400117,46,230,133,28,57,16,640,173,70,1199,68
3400118,21,89,122,10,30,5,336,86,21,630,26
3400119,35,119,78,26,20,3,322,97,15,541,20
3400120,36,213,192,97,9,1,213,45,21,287,20
3400121,17,89,89,77,2,1,150,27,8,251,21
3400122,20,117,89,97,4,2,268,87,23,250,6
3400123,3,10,11,0,1,0,118,90,5,125,10
3400124,3,21,11,10,11,5,54,13,5,55,2
3400125,30,103,152,19,15,7,276,56,40,765,27
3400126,42,128,99,30,20,3,290,35,21,718,30
3400127,18,120,40,59,7,3,150,30,12,314,11
3400128,59,266,146,70,12,6,334,72,13,647,26
3400129,67,243,187,89,17,8,419,90,22,748,26
3400130,58,328,194,76,26,11,377,75,35,818,25
3400131,24,96,111,25,6,2,105,12,52,200,19
3400132,53,150,174,83,30,9,428,128,62,734,27
3400133,30,159,39,38,7,2,202,64,24,379,22
3400134,41,142,88,60,10,3,225,61,17,402,28
3400135,4,69,48,7,16,6,67,20,2,60,4
3400136,15,137,124,63,8,2,180,60,24,273,8
3400137,1,17,5,3,2,0,248,180,6,139,5
3400138,38,205,179,110,11,4,337,34,137,939,60
3400139,37,301,215,79,22,10,324,53,149,721,50
3400140,36,406,68,105,12,1,285,27,312,644,11
3400141,27,205,107,103,15,8,328,47,86,867,49
3400142,9,109,106,32,7,0,219,47,34,434,24
3400143,43,175,93,96,11,6,299,114,24,284,8
3400144,50,293,250,155,7,4,250,57,40,340,20
3400145,30,256,195,110,16,4,356,81,103,672,38
3400146,65,305,173,99,74,18,505,72,76,1306,51
3400147,8,75,30,29,7,1,101,10,18,229,9
3400148,24,123,121,67,5,2,167,20,40,328,15
3400149,2,11,3,0,6,5,124,73,5,51,2
3400150,17,392,149,62,14,3,263,28,114,974,88
3400151,23,337,254,33,5,1,355,130,67,862,53
3400152,85,760,926,281,47,20,1301,448,590,3029,237
3400153,101,244,358,137,8,3,366,134,92,1003,41
3400154,76,463,336,139,47,12,532,88,209,1342,94
3400155,82,446,353,128,35,16,418,59,362,1188,76
3400156,26,378,279,166,28,8,441,55,366,1674,125
3400157,102,521,269,196,36,13,454,84,299,1597,126
3400158,74,566,290,154,32,16,541,81,236,1722,87
3400159,48,603,319,201,70,25,822,127,526,2388,160
3400160,4,43,14,0,6,4,251,158,3,521,9
3400161,57,700,345,186,45,15,639,84,265,1703,125
3400162,142,618,935,338,35,14,805,187,352,2051,143
3400163,38,165,351,103,27,4,510,120,208,1202,140
3400164,66,169,371,119,32,13,468,137,767,1239,210
3400165,62,189,184,56,14,2,255,27,27,634,31
3400166,53,304,267,68,15,3,530,117,219,1172,87
3400167,82,150,395,76,33,13,440,55,64,862,33
3400168,96,333,660,144,61,26,1270,308,468,2148,124
3400169,6,8,7,0,3,0,177,133,21,278,13
3400170,21,180,143,29,18,9,210,55,33,308,12
3400171,35,274,168,62,21,8,180,34,15,386,16
3400172,47,74,45,23,2,0,130,23,8,179,3
3400173,8,102,101,36,6,3,88,11,6,206,4
3400174,34,217,121,63,10,7,119,7,14,197,6
3400175,13,131,126,67,6,3,80,16,10,193,15
3400176,45,254,570,102,14,6,337,71,29,776,37
3400177,55,222,392,59,14,5,230,25,27,613,16
3400178,68,225,251,63,25,16,425,102,44,973,28
3400179,22,147,61,26,28,22,132,18,32,334,11
3400180,94,184,407,67,12,6,325,78,69,683,51
3400181,88,216,452,52,14,3,254,61,52,595,21
3400182,57,91,279,90,10,2,238,65,20,590,14
3400183,49,317,337,43,17,5,430,167,68,619,43
3400184,87,218,349,118,16,9,403,130,45,907,29
3400185,131,256,394,87,17,6,327,70,47,686,17
3400186,8,30,7,5,3,1,188,142,20,125,9
3400187,71,418,65,79,15,7,230,20,156,710,53
3400188,34,232,56,62,3,2,143,47,22,273,19
3400189,64,465,193,110,10,7,226,34,23,587,31
3400190,29,176,256,92,12,7,186,28,63,633,46
3400191,21,201,103,57,11,3,130,13,96,466,40
3400192,27,308,355,157,14,5,410,94,141,965,60
3400193,59,292,278,108,8,4,290,73,135,723,46
3400194,20,198,268,119,8,3,211,25,165,695,60
3400195,60,369,172,106,6,1,342,75,197,1517,112
3400196,64,180,172,85,7,3,167,38,30,433,23
3400197,53,330,82,164,6,3,123,14,13,414,13
3400198,30,212,69,111,4,0,110,17,8,266,11
3400199,24,221,127,55,2,2,140,25,2,293,12
3400200,83,448,263,194,15,4,330,89,52,778,37
3400201,15,199,154,64,1,1,143,21,20,378,23
3400202,61,388,356,100,24,10,303,61,50,667,51
3400203,2,33,4,0,2,1,21,0,2,27,1
3400204,3,16,0,0,1,1,254,215,5,237,1
3400205,25,187,56,52,20,6,222,21,40,704,14
3400206,35,180,146,89,40,5,351,13,46,1135,52
3400207,41,291,267,72,31,8,602,112,223,1630,96
3400208,32,136,62,58,10,2,229,56,21,417,16
3400209,51,167,71,71,19,3,352,43,34,1031,29
3400210,45,238,188,92,21,8,480,39,120,1248,43
3400211,30,180,59,53,11,3,238,22,25,551,20
3400212,29,153,83,30,8,4,155,28,12,426,19
3400213,11,107,25,80,11,5,141,28,4,163,4
3400214,4,11,7,1,3,1,150,119,3,53,2
3400215,29,193,176,107,12,5,235,75,40,586,67
3400216,112,418,232,162,17,6,332,62,59,879,54
3400217,61,317,122,137,24,6,364,70,88,784,34
3400218,61,344,188,89,12,6,235,34,55,549,19
3400219,57,374,284,148,17,4,254,39,51,475,35
3400220,85,497,222,166,17,8,289,33,49,635,30
3400221,49,441,149,155,9,2,215,22,33,422,21
3400222,88,684,226,292,17,2,404,139,46,610,27
3400223,3,7,2,0,2,1,209,169,2,68,1
3400224,85,508,447,233,54,19,681,135,307,1976,241
3400225,56,376,627,162,23,9,518,113,218,1406,93
3400226,79,430,424,89,28,7,402,106,75,751,62
3400227,109,791,348,145,48,13,703,123,300,1647,88
3400228,91,513,140,145,27,5,493,59,102,1143,60
3400229,35,238,78,68,22,3,225,23,50,629,23
3400230,51,390,98,179,29,10,338,46,64,754,31
3400231,0,7,7,1,1,1,105,68,6,105,2
3400232,40,284,201,140,32,13,561,119,929,1630,144
3400233,58,437,226,175,39,19,618,109,200,2048,135
3400234,65,244,300,151,27,14,567,112,232,1285,95
3400235,50,367,269,148,31,15,509,86,110,1531,125
3400236,54,349,34,44,21,8,508,45,29,672,30
3400237,99,623,156,159,39,15,413,39,53,1188,75
3400238,23,214,39,93,11,3,227,29,23,455,24
3400239,44,242,164,72,28,11,479,54,28,834,76
3400240,12,115,25,28,13,1,91,5,5,216,11
3400241,111,441,144,153,10,3,288,23,16,570,32
3400242,2,16,0,0,0,0,52,39,10,77,5
3400243,21,109,228,42,2,1,166,51,65,343,45
3400244,27,210,77,32,7,1,133,16,6,241,12
3400245,35,211,100,47,8,3,167,46,24,308,21
3400246,57,168,75,45,9,4,164,34,15,256,11
3400247,69,185,119,27,14,8,372,132,41,720,23
3400248,25,93,133,10,11,6,169,51,32,279,14
3400249,32,152,204,18,10,3,158,28,13,291,20
3400250,20,54,75,13,20,14,202,64,20,316,10
3400251,47,228,97,46,15,3,130,19,23,332,7
3400252,23,87,43,28,5,3,115,34,14,138,6
3400253,15,49,72,15,4,3,56,18,7,54,2
3400254,4,82,3,13,2,2,27,2,0,43,1
3400255,20,123,61,10,16,3,133,28,7,186,1
3400256,10,20,51,2,3,0,48,16,2,97,0
3400257,7,28,61,9,3,1,88,16,5,199,7
3400258,6,32,7,6,2,1,26,0,1,45,0
3400259,30,91,221,13,8,2,112,25,2,176,10
3400260,11,141,69,37,2,1,55,5,2,75,2
3400261,16,66,163,10,20,12,150,12,51,322,10
3400262,20,78,59,27,8,3,73,9,1,129,4
3400263,5,29,5,1,2,2,278,221,11,106,3
3400264,52,126,88,30,32,11,279,43,33,780,38
3400265,103,467,147,43,47,15,505,68,78,1396,81
3400266,157,361,114,37,17,7,356,66,23,818,52
3400267,45,202,169,23,72,26,581,150,83,1357,61
3400268,18,79,126,14,19,9,224,33,32,479,30
3400269,32,121,102,20,26,3,252,75,33,595,34
3400270,35,290,190,55,18,8,215,28,18,349,10
3400271,16,168,86,82,6,3,122,26,7,178,9
3400272,41,215,86,112,2,0,130,25,15,184,9
3400273,9,3,6,0,1,0,154,106,2,93,3
3400274,4,41,8,35,5,4,29,3,5,52,2
3400275,27,125,99,18,13,7,201,27,67,712,29
3400276,62,130,78,40,21,6,274,30,40,643,32
3400277,24,145,37,44,11,6,193,26,14,339,13
3400278,72,279,151,66,15,4,316,71,34,731,31
3400279,77,262,188,44,17,4,318,72,25,613,26
3400280,65,327,178,52,22,11,388,103,56,874,37
3400281,35,106,137,16,8,4,104,13,53,237,18
3400282,72,208,287,30,24,14,318,94,65,663,34
3400283,50,144,34,39,20,7,142,28,17,338,15
3400284,49,141,88,49,11,3,202,76,14,403,25
3400285,9,45,25,9,22,10,63,13,8,62,6
3400286,67,186,157,70,19,11,192,32,5,351,10
3400287,6,8,7,0,1,0,169,123,6,83,4
3400288,30,191,158,80,16,10,260,29,132,979,38
3400289,39,322,170,60,30,13,322,55,152,789,49
3400290,20,254,53,76,10,7,175,23,228,529,15
3400291,32,187,117,67,14,8,321,43,100,850,45
3400292,12,98,102,19,6,3,165,30,41,336,23
3400293,16,261,77,129,10,4,212,36,27,279,4
3400294,41,391,273,205,7,1,227,49,19,334,25
3400295,22,291,169,99,16,4,264,59,97,662,45
3400296,37,328,133,67,44,18,428,36,139,1486,86
3400297,6,82,26,36,6,4,116,15,14,223,14
3400298,11,102,70,64,17,5,117,13,33,272,15
